day,month,month(Abbreviation),year,year(Abbreviation),first_price,unoff_last_two,unoff_last_three,last_two,first_three1,first_three2,last_three1,last_three2,last_three3,last_three4,
1,กุมภาพันธ์,ก.พ.,2568,68,558700,00,700,51,285,418,NA,NA,685,824,
17,มกราคม,ม.ค.,2568,68,807779,79,779,23,699,961,NA,NA,448,477,
2,มกราคม,ม.ค.,2568,68,730209,09,209,51,065,446,NA,NA,297,376,
16,ธันวาคม,ธ.ค.,2567,67,97863,63,863,21,290,742,NA,NA,339,881,
1,ธันวาคม,ธ.ค.,2567,67,669843,43,843,61,559,626,NA,NA,098,654,
16,พฤศจิกายน,พ.ย.,2567,67,187221,21,221,38,036,923,NA,NA,547,980,
1,พฤศจิกายน,พ.ย.,2567,67,536044,44,044,32,174,225,NA,NA,063,231,
16,ตุลาคม,ต.ค.,2567,67,482962,62,962,00,561,648,NA,NA,493,919,
1,ตุลาคม,ต.ค.,2567,67,718665,65,665,59,053,812,NA,NA,079,566,
16,กันยายน,ก.ย.,2567,67,608662,62,662,37,230,904,NA,NA,008,408,
1,กันยายน,ก.ย.,2567,67,199606,06,606,94,173,220,NA,NA,094,388,
16,สิงหาคม,ส.ค.,2567,67,95867,67,867,28,212,334,NA,NA,697,728,
1,สิงหาคม,ส.ค.,2567,67,407041,41,041,46,408,579,NA,NA,070,622,
16,กรกฎาคม,ก.ค.,2567,67,367336,36,336,21,011,331,NA,NA,421,618,
1,กรกฎาคม,ก.ค.,2567,67,434503,03,503,89,839,975,NA,NA,647,778,
16,มิถุนายน,มิ.ย,2567,67,518504,04,504,31,016,428,NA,NA,426,447,
1,มิถุนายน,มิ.ย,2567,67,530593,93,593,42,194,364,NA,NA,421,734,
16,พฤษภาคม,พ.ค.,2567,67,205690,90,690,60,747,885,NA,NA,070,137,
2,พฤษภาคม,พ.ค.,2567,67,980116,16,116,17,104,763,NA,NA,634,833,
16,เมษายน,เม.ย.,2567,67,943598,98,598,79,727,729,NA,NA,154,200,
1,เมษายน,เม.ย.,2567,67,803481,81,481,90,122,809,NA,NA,559,947,
16,มีนาคม,มี.ค.,2567,67,997626,26,626,78,509,571,NA,NA,329,794,
1,มีนาคม,มี.ค.,2567,67,253603,03,603,79,900,975,NA,NA,382,703,
16,กุมภาพันธ์,ก.พ.,2567,67,941395,95,395,43,056,330,NA,NA,375,587,
1,กุมภาพันธ์,ก.พ.,2567,67,607063,63,063,09,454,943,NA,NA,544,591,
17,มกราคม,ม.ค.,2567,67,105979,79,979,61,429,931,NA,NA,196,635,
30,ธันวาคม,ธ.ค.,2566,66,625544,44,544,89,600,648,NA,NA,456,882,
16,ธันวาคม,ธ.ค.,2566,66,356757,57,757,85,058,410,NA,NA,584,964,
1,ธันวาคม,ธ.ค.,2566,66,251097,97,097,91,055,265,NA,NA,092,280,
16,พฤศจิกายน,พ.ย.,2566,66,557990,90,990,14,346,412,NA,NA,778,961,
1,พฤศจิกายน,พ.ย.,2566,66,743951,51,951,63,335,913,NA,NA,019,349,
16,ตุลาคม,ต.ค.,2566,66,931446,46,446,44,167,398,NA,NA,272,970,
1,ตุลาคม,ต.ค.,2566,66,727202,02,202,66,324,355,NA,NA,426,615,
16,กันยายน,ก.ย.,2566,66,320812,12,812,46,037,699,NA,NA,057,344,
1,กันยายน,ก.ย.,2566,66,915478,78,478,91,521,596,NA,NA,291,692,
16,สิงหาคม,ส.ค.,2566,66,471782,82,782,67,431,739,NA,NA,737,742,
31,กรกฎาคม,ก.ค.,2566,66,260453,53,453,11,268,708,NA,NA,387,601,
16,กรกฎาคม,ก.ค.,2566,66,169530,30,530,62,261,384,NA,NA,066,780,
1,กรกฎาคม,ก.ค.,2566,66,922605,05,605,16,281,867,NA,NA,491,947,
16,มิถุนายน,มิ.ย,2566,66,264872,72,872,30,519,628,NA,NA,202,874,
1,มิถุนายน,มิ.ย,2566,66,125272,72,272,09,000,681,NA,NA,386,971,
16,พฤษภาคม,พ.ค.,2566,66,132903,03,903,99,678,739,NA,NA,693,731,
2,พฤษภาคม,พ.ค.,2566,66,843019,19,019,65,500,780,NA,NA,187,269,
16,เมษายน,เม.ย.,2566,66,984906,06,906,71,670,678,NA,NA,551,797,
1,เมษายน,เม.ย.,2566,66,87907,07,907,99,111,914,NA,NA,290,698,
16,มีนาคม,มี.ค.,2566,66,25873,73,873,73,420,800,NA,NA,355,544,
1,มีนาคม,มี.ค.,2566,66,417652,52,652,55,577,919,NA,NA,748,984,
16,กุมภาพันธ์,ก.พ.,2566,66,590417,17,417,80,195,664,NA,NA,377,523,
1,กุมภาพันธ์,ก.พ.,2566,66,297411,11,411,92,181,789,NA,NA,101,664,
17,มกราคม,ม.ค.,2566,66,812519,19,519,47,389,443,NA,NA,564,849,
